,place_id,licence,osm_type,osm_id,boundingbox,lat,lon,display_name,class,type,importance,icon
123065,139988784.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,163726815.0,"['-12.2310916', '-12.2309647', '-76.9143372', '-76.9140508']",-12.2310314,-76.9141867,"Calle Técnico Neyser Llacsa Arce, Sector 4, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15837, Perú",highway,footway,0.675,
133395,188005440.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,371355296.0,"['-12.2269215', '-12.2069303', '-76.9372372', '-76.9252669']",-12.2168828,-76.9312692,"Avenida Central, Sector 2, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15834, Perú",highway,tertiary,0.8,
143850,213051615.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,521285765.0,"['-12.212554', '-12.2122529', '-76.9299779', '-76.9294583']",-12.2123523,-76.9296298,"Pasaje D, 6 de Agosto, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15816, Perú",highway,service,0.675,
151519,138916723.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,158985711.0,"['-12.2437013', '-12.2432756', '-76.9278829', '-76.9271301']",-12.2434824,-76.9274956,"Pasaje 1, Edilberto Ramos Grupo 2, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15837, Perú",highway,residential,0.9,
171383,213051615.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,521285765.0,"['-12.212554', '-12.2122529', '-76.9299779', '-76.9294583']",-12.2123523,-76.9296298,"Pasaje D, 6 de Agosto, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15816, Perú",highway,service,0.675,
213899,188219699.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,370664006.0,"['-12.2277798', '-12.2263954', '-76.8914934', '-76.8898355']",-12.2271444,-76.8905964,"Avenida Los Eucaliptos, Las Palmas de Belén, Las Palmas, Lurín, Lima, Lima Metropolitana, Lima, 15822, Perú",highway,residential,0.6,
220716,201832174.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,445592470.0,"['-12.2607083', '-12.2278035', '-76.8839509', '-76.8624997']",-12.2457623,-76.8708663,"Avenida Manuel Valle, Santa Rosa de Lurín, La Unión, Villa Libertad Casica, Lurín, Lima, Lima Metropolitana, Lima, 15823, Perú",highway,secondary,0.5,
237157,188219699.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,370664006.0,"['-12.2277798', '-12.2263954', '-76.8914934', '-76.8898355']",-12.2271444,-76.8905964,"Avenida Los Eucaliptos, Las Palmas de Belén, Las Palmas, Lurín, Lima, Lima Metropolitana, Lima, 15822, Perú",highway,residential,0.6,
13250,126089496.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,108150110.0,"['-6.6433021', '-6.6404228', '-79.7963564', '-79.784524']",-6.6418425,-79.7908765,"Avenida Augusto B. Leguía, Ferreñafe, Pueblo Nuevo, Ferreñafe, Lambayeque, Perú",highway,residential,0.3,
35510,59109333.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,5365313355.0,"['-5.6559286', '-5.6159286', '-75.9662167', '-75.9262167']",-5.6359286,-75.9462167,"Progreso, Santa Cruz, Alto Amazonas, Loreto, Perú",place,village,0.375,https://nominatim.openstreetmap.org/ui/mapicons//poi_place_village.p.20.png
42532,188824018.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,371281681.0,"['-5.8960069', '-5.8952137', '-76.1078992', '-76.1047644']",-5.8956432,-76.1063039,"Avenida Atanacio Jáuregui, Yurimaguas, Alto Amazonas, Loreto, 16501, Perú",highway,tertiary,0.1999999999999999,
50195,197647275.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,424437556.0,"['-5.8893801', '-5.8890063', '-76.1059768', '-76.1058317']",-5.8893801,-76.1058317,"Bolivar, Yurimaguas, Alto Amazonas, Loreto, 16501, Perú",highway,residential,0.1999999999999999,
55001,147554474.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,192288956.0,"['-5.896911', '-5.8966967', '-76.1089631', '-76.1067505']",-5.8967836,-76.1076663,"Calle Tarata, Yurimaguas, Alto Amazonas, Loreto, 16501, Perú",highway,residential,0.1999999999999999,
60491,59109333.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,5365313355.0,"['-5.6559286', '-5.6159286', '-75.9662167', '-75.9262167']",-5.6359286,-75.9462167,"Progreso, Santa Cruz, Alto Amazonas, Loreto, Perú",place,village,0.375,https://nominatim.openstreetmap.org/ui/mapicons//poi_place_village.p.20.png
61003,59109333.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,5365313355.0,"['-5.6559286', '-5.6159286', '-75.9662167', '-75.9262167']",-5.6359286,-75.9462167,"Progreso, Santa Cruz, Alto Amazonas, Loreto, Perú",place,village,0.375,https://nominatim.openstreetmap.org/ui/mapicons//poi_place_village.p.20.png
62890,230138148.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,641965692.0,"['-5.8895346', '-5.8893158', '-76.1062256', '-76.1056822']",-5.8893801,-76.1058317,"Zamora, Yurimaguas, Alto Amazonas, Loreto, 16501, Perú",highway,residential,0.1999999999999999,
69123,219204713.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,560893262.0,"['-14.8230663', '-14.8220518', '-74.9307256', '-74.9298684']",-14.822559,-74.93029700647361,"Parque de Amaprovi, Nazca, Santa Fe, Huachuca, Nazca, Nasca, Ica, Perú",place,square,0.225,
69898,43456253.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,3627453960.0,"['-14.9291799', '-14.8891799', '-74.932483', '-74.892483']",-14.9091799,-74.912483,"San Agustin, Vista Alegre, Nasca, Ica, Perú",place,hamlet,0.45,https://nominatim.openstreetmap.org/ui/mapicons//poi_place_village.p.20.png
75022,125053394.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,103779831.0,"['-14.8247493', '-14.6838372', '-75.1339208', '-74.9573504']",-14.7591499,-75.0495607,"Panamericana Sur, San Miguel de la Pascana, El Ingenio, Nasca, Ica, 11401, Perú",highway,trunk,0.3,
78157,146662120.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,190730882.0,"['-14.8279399', '-14.8251928', '-74.9455713', '-74.9453358']",-14.8266447,-74.9453358,"Jirón Los Espinales, Nazca, Santa Isabel, Nasca, Nazca, Nasca, Ica, 11401, Perú",highway,residential,0.3,
78550,198494986.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,429707580.0,"['-11.9704434', '-11.9689175', '-76.7458145', '-76.7452942']",-11.9696565,-76.7456356,"Garcilazo de la Vega, Chaclacayo, Lima, Lima Metropolitana, Lima, LIMA 8, Perú",highway,living_street,0.5,
78690,248220919.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750320122.0,"['-11.9784987', '-11.977437', '-76.781908', '-76.7767839']",-11.9779657,-76.7793108,"Avenida Nicolás Ayllón, Asociación Huascarán, Chaclacayo, Lima, Lima Metropolitana, Lima, 15472, Perú",highway,trunk,0.0999999999999999,
80539,248220919.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750320122.0,"['-11.9784987', '-11.977437', '-76.781908', '-76.7767839']",-11.9779657,-76.7793108,"Avenida Nicolás Ayllón, Asociación Huascarán, Chaclacayo, Lima, Lima Metropolitana, Lima, 15472, Perú",highway,trunk,0.0999999999999999,
80760,278778592.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,966371577.0,"['-12.0123229', '-12.011613', '-76.8210067', '-76.8206049']",-12.01184325,-76.82079099543628,"Iglesia de Jesucristo de los Santos de los Últimos Días, Calle Los Robles, Zona D, Huaycán, Ate, Lima, Lima Metropolitana, Lima, 15483, Perú",amenity,place_of_worship,0.201,https://nominatim.openstreetmap.org/ui/mapicons//place_of_worship_unknown3.p.20.png
81771,60542902.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,5596729850.0,"['-11.97515', '-11.97505', '-76.76555', '-76.76545']",-11.9751,-76.7655,"Institución educativa inicial La Casita De Los Niños, Calle Los Olivos, Asociación Huascarán, Chaclacayo, Lima, Lima Metropolitana, Lima, LIMA 8, Perú",amenity,kindergarten,0.201,
82392,248220919.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750320122.0,"['-11.9784987', '-11.977437', '-76.781908', '-76.7767839']",-11.9779657,-76.7793108,"Avenida Nicolás Ayllón, Asociación Huascarán, Chaclacayo, Lima, Lima Metropolitana, Lima, 15472, Perú",highway,trunk,0.0999999999999999,
82812,248220919.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750320122.0,"['-11.9784987', '-11.977437', '-76.781908', '-76.7767839']",-11.9779657,-76.7793108,"Avenida Nicolás Ayllón, Asociación Huascarán, Chaclacayo, Lima, Lima Metropolitana, Lima, 15472, Perú",highway,trunk,0.0999999999999999,
84240,219386112.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,557567626.0,"['-18.034465', '-18.0341455', '-70.2778682', '-70.2775409']",-18.034465,-70.2778682,"Jorge Basadre, Augusto B Leguia, Cecoavi, Para, Tacna, 23006, Perú",highway,residential,0.3,
84519,335575215.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,3420322677.0,"['-18.0525865', '-18.0125865', '-70.2929323', '-70.2529323']",-18.0325865,-70.2729323,"Leguía, Tacna, 23006, Perú",place,suburb,0.275,https://nominatim.openstreetmap.org/ui/mapicons//poi_place_village.p.20.png
84531,88047782.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,8624713979.0,"['-18.0413377', '-18.0213377', '-70.2847334', '-70.2647334']",-18.0313377,-70.2747334,"Augusto B Leguia, Leguía, Tacna, 23006, Perú",place,neighbourhood,0.55,
85020,218785467.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,558189769.0,"['-18.0030651', '-17.9995882', '-70.2521503', '-70.246692']",-18.0011749,-70.2494735,"San Marcos, Urbanización Señora del Carmen, Leoncio Prado, Tacna, 23001, Perú",highway,residential,0.3,
85264,126122127.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,110951286.0,"['-18.0167257', '-18.0143541', '-70.2493596', '-70.2479336']",-18.0156712,-70.2486312,"Avenida Billinghurst, Urbanización Bacna Ríos, Jesús María, Tacna, 23003, Perú",highway,tertiary,0.1999999999999999,
97866,219001048.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,558097091.0,"['-18.0132556', '-18.0083825', '-70.2352358', '-70.2283262']",-18.0106054,-70.2314061,"8 de Setiembre, Asociación Las Américas, Capanique, Las Vilcas, Pocollay, Tacna, 23003, Perú",highway,residential,0.4,
98066,198784598.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,431569848.0,"['-18.0030828', '-18.0004286', '-70.2562241', '-70.2521208']",-18.0018764,-70.2543551,"Industrial, Urbanización Señora del Carmen, Leoncio Prado, Tacna, 23001, Perú",highway,secondary,0.1999999999999999,
98737,218808908.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,558351194.0,"['-17.9982106', '-17.9974156', '-70.26149', '-70.2604013']",-17.9978778,-70.2610552,"San Martín, Asociación Virgen de la Asunta, La Esperanza, Alto de la Alianza, Tacna, 23001, Perú",highway,footway,0.1749999999999999,
99224,52486995.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,4599914992.0,"['-18.0002163', '-18.0001163', '-70.2386406', '-70.2385406']",-18.0001663,-70.2385906,"BCP Coronel Mendoza, Avenida Coronel Mendoza, Urbanización Viacava, Vigil, Tacna, 23001, Perú",amenity,bank,0.201,https://nominatim.openstreetmap.org/ui/mapicons//money_bank2.p.20.png
99449,250841873.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,766111394.0,"['-18.0231514', '-18.0219702', '-70.2494585', '-70.2490257']",-18.0224909,-70.2492699,"Arica, Urbanización La Rueda, Jesús María, Tacna, TACNA 23000, Perú",highway,residential,0.1999999999999999,
99650,321092654.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,110953900.0,"['-17.9942837', '-17.9929032', '-70.2449218', '-70.244412']",-17.9936478,-70.2448918,"Avenida Pinto, San Martin, La Esperanza, Alto de la Alianza, Tacna, 23001, Perú",highway,secondary,0.3,
99813,218745798.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,558189702.0,"['-18.0023714', '-18.0014406', '-70.2560163', '-70.2553368']",-18.0023438,-70.255357,"Pasaje Julio Rospigliosi, Urbanización Señora del Carmen, Leoncio Prado, Tacna, 23001, Perú",highway,residential,0.3,
99920,327463300.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,1017199513.0,"['-18.0083457', '-18.0082013', '-70.250244', '-70.2502091']",-18.0083457,-70.2502091,"Calderón de la Barca, Urbanización Bacigalupo, Vigil, Tacna, 23001, Perú",highway,residential,0.4,
99979,218781276.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,558097092.0,"['-18.0151432', '-18.0096483', '-70.2349922', '-70.2271008']",-18.0125414,-70.2312264,"Calle López Albújar, Los Guayabos, Capanique, Las Vilcas, Pocollay, Tacna, 23003, Perú",highway,residential,0.0999999999999999,
101510,335573526.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,3420322689.0,"['-18.0226049', '-17.9826049', '-70.2644605', '-70.2244605']",-18.0026049,-70.2444605,"Vigil, Tacna, 23001, Perú",place,suburb,0.375,https://nominatim.openstreetmap.org/ui/mapicons//poi_place_village.p.20.png
